Timestamp,AMZN,k_period_min,k_period_max,Stoch_K,Stoch_D,SMA_Fast,SMA_Slow,stoch_oscl_exit,stoch_oscl_signal,Overbought,Oversold,AMZN_position,AMZN_entry_exit_position,AMZN_portfolio_holdings,AMZN_portfolio_cash,AMZN_portfolio_total,AMZN_portfolio_daily_returns,AMZN_portfolio_cumulative_returns
2021-09-29 12:17:00+00:00,3333.5,3333.06,3340.2,6.162464985995272,13.956911182151346,3336.532,3336.6391666666664,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:18:00+00:00,3331.01,3331.01,3340.2,0.0,9.195006420246585,3335.6330000000003,3336.1108333333336,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:24:00+00:00,3331.8,3331.01,3340.2,8.596300326441764,7.392746293720951,3334.793,3335.6775,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:36:00+00:00,3332.0,3331.01,3340.2,10.772578890096026,5.90138310486021,3334.273,3335.0108333333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:39:00+00:00,3325.0,3325.0,3340.2,0.0,4.187097390574496,3332.8730000000005,3333.744166666667,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:40:00+00:00,3329.9,3325.0,3340.2,32.23684210526414,8.792360548469373,3332.1630000000005,3333.1358333333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 12:58:00+00:00,3330.0,3325.0,3340.2,32.89473684210565,12.951846164271837,3331.4630000000006,3332.3858333333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:00:00+00:00,3329.0,3325.0,3340.2,26.315789473684525,15.830892519656016,3330.8630000000003,3331.7191666666663,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:03:00+00:00,3329.0,3325.0,3340.2,26.315789473684525,19.590291015896664,3330.457,3331.0525,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:08:00+00:00,3329.01,3325.0,3339.0,28.642857142858702,22.454084846813366,3330.022,3330.5533333333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:12:00+00:00,3328.11,3325.0,3339.0,22.214285714286625,24.08861439312631,3329.483,3330.1408333333334,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:13:00+00:00,3329.0,3325.0,3337.0,33.33333333333333,28.850519155031073,3329.282,3329.7775,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:16:00+00:00,3326.42,3325.0,3337.0,11.83333333333394,25.935732187612473,3328.744,3329.1875,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:17:00+00:00,3328.86,3325.0,3335.0,38.60000000000127,26.750769781597562,3328.4300000000003,3329.008333333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:19:00+00:00,3326.42,3325.0,3333.5,16.705882352942034,25.377925907205775,3328.572,3328.56,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:26:00+00:00,3326.0,3325.0,3333.5,11.76470588235294,23.299199679872693,3328.182,3328.06,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:27:00+00:00,3325.0,3325.0,3333.5,0.0,19.207362945178595,3327.682,3328.06,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:30:00+00:00,3326.54,3325.0,3332.0,21.99999999999948,19.17675070028043,3327.436,3327.78,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:31:00+00:00,3324.17,3324.17,3332.0,0.0,14.414845938375667,3326.953,3327.2941666666666,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:32:00+00:00,3324.92,3324.17,3332.0,9.578544061302772,14.092733185228356,3326.5440000000003,3326.954166666667,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:33:00+00:00,3319.0001,3319.0001,3330.0,0.0,8.57844747094246,3325.63301,3326.120841666667,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:34:00+00:00,3321.0101,3319.0001,3330.0,18.272893389938094,8.802306190513326,3324.83402,3325.4541833333333,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
2021-09-29 13:35:00+00:00,3322.96,3319.0001,3330.0,35.99941817652803,12.264407946824054,3324.48802,3325.0250166666665,0,1,94,25,500,0.0,0.0,1000000.0,1000000.0,0.0,0.0
